kingdom,year,n
Protozoa,2005,4149
Bacteria,2013,610691
Archaea,2014,18988
Archaea,2013,7120
incertae sedis,2013,34644
Fungi,1971,14564
Fungi,NA,344101
Fungi,2000,15356
Fungi,1987,10234
Fungi,1991,14975
Fungi,1984,13368
incertae sedis,2009,12717
Chromista,2010,272614
Bacteria,2009,23236
Fungi,2005,19145
Viruses,2018,10636
Viruses,2017,14494
Fungi,1995,12394
Bacteria,2017,59581
Protozoa,2011,11591
Fungi,1954,14074
Fungi,1955,12280
Fungi,1976,20966
Fungi,1957,20536
Fungi,1933,9857
Fungi,1959,12158
Fungi,1956,18165
Fungi,1961,17511
Fungi,1973,18340
Fungi,1897,9859
Fungi,1962,17840
Fungi,1969,17760
Fungi,1963,13605
Fungi,1965,15200
Fungi,1967,22202
Fungi,1879,2071
Fungi,1952,10472
Fungi,1977,20879
Fungi,1899,8179
Fungi,1950,12798
Fungi,1958,19589
Fungi,1895,8396
Fungi,1979,20528
Fungi,1990,12319
Fungi,1972,22386
Fungi,1891,5356
Fungi,1949,14409
Fungi,1889,7310
Fungi,1997,11260
Fungi,1998,19914
Fungi,1928,5590
Fungi,1993,16064
Fungi,1986,14636
Fungi,1924,8218
Fungi,1974,17364
Fungi,1970,17520
Fungi,1894,11053
incertae sedis,1965,2478
Fungi,1978,21724
Fungi,1920,8346
Fungi,1880,2572
Fungi,1898,8225
Fungi,1909,11822
incertae sedis,1959,1369
Fungi,1922,9957
Fungi,1996,12726
Fungi,1948,14937
Fungi,1923,7722
Fungi,1892,9466
Fungi,1946,8402
Fungi,1964,14359
Fungi,1937,13627
Fungi,1953,13144
Fungi,1999,11970
Fungi,1893,12168
Fungi,1936,12538
Fungi,1983,19779
Fungi,1992,17840
Fungi,1906,9845
Fungi,1901,10020
Fungi,1925,8275
incertae sedis,1962,4383
Fungi,1988,13649
Fungi,1951,8720
incertae sedis,1889,359
Fungi,1927,6692
Fungi,1941,12050
Fungi,1910,9982
Fungi,1966,16118
Fungi,1942,10232
Fungi,1934,13939
incertae sedis,1960,1033
Fungi,1932,8603
Fungi,1896,9321
Fungi,1884,4600
Fungi,1944,5585
Fungi,1919,8763
Fungi,1931,7508
Fungi,1939,14743
Fungi,1866,157
incertae sedis,1952,1537
Fungi,1911,12252
incertae sedis,1957,3754
Fungi,1887,4642
incertae sedis,1971,5046
Fungi,1839,62
incertae sedis,1958,2049
Fungi,1912,8045
Fungi,1915,10252
Fungi,1914,9417
Fungi,1981,12012
Fungi,1917,7611
Fungi,1881,2391
Fungi,1856,303
Fungi,1877,799
Fungi,1857,168
Fungi,1848,385
Fungi,1985,10778
Fungi,1935,14507
incertae sedis,1880,112
Fungi,1929,5645
Fungi,1882,3937
Fungi,1908,9065
Fungi,1913,8698
Fungi,1886,4878
Fungi,1947,12870
incertae sedis,1954,781
Fungi,1890,5278
incertae sedis,1974,4472
incertae sedis,1895,694
Fungi,1926,5615
Fungi,1989,15706
Fungi,1930,6433
Fungi,1902,9517
Fungi,1871,172
Fungi,1940,11841
Fungi,1945,6847
Fungi,1905,7170
Chromista,1967,2430
Fungi,1878,1377
incertae sedis,1969,2995
incertae sedis,1968,4140
Fungi,1938,14931
incertae sedis,1885,256
incertae sedis,1956,1651
incertae sedis,1996,14503
Fungi,1900,7102
Fungi,1903,9226
Fungi,1883,4668
Fungi,1943,4885
incertae sedis,1893,365
Fungi,1921,9080
Fungi,1907,7784
Fungi,1918,5281
Fungi,1885,3985
Fungi,1916,9057
Fungi,1876,861
Fungi,1904,7390
incertae sedis,1931,1172
Fungi,1888,5893
Chromista,1904,332
Chromista,1907,392
incertae sedis,1988,5005
Chromista,1893,421
Chromista,1902,419
Chromista,1903,344
incertae sedis,1911,941
incertae sedis,1923,678
incertae sedis,1908,778
Chromista,1916,487
incertae sedis,1902,464
Fungi,1875,622
incertae sedis,1920,998
Fungi,1874,635
Bacteria,2011,321593
Chromista,2011,133499
Bacteria,2012,114598
incertae sedis,2012,14452
incertae sedis,2011,22462
Archaea,2012,3124
Archaea,2011,4661
Animalia,1864,1444
Animalia,1869,2956
Animalia,1833,41
Animalia,1874,11653
Chromista,1994,5352
Chromista,2006,57210
Chromista,1996,8302
Chromista,2000,25373
Animalia,1834,106
Chromista,2007,64368
Chromista,2005,48925
Animalia,1862,2152
Animalia,1867,1452
Animalia,1860,9621
incertae sedis,1999,18384
incertae sedis,1978,5798
incertae sedis,2015,26745
incertae sedis,2001,9599
incertae sedis,2008,20079
incertae sedis,1990,3738
incertae sedis,2016,27302
incertae sedis,1970,3636
incertae sedis,2017,19032
incertae sedis,1963,2594
incertae sedis,1985,3612
incertae sedis,1987,3405
incertae sedis,2019,7967
incertae sedis,2018,16905
incertae sedis,1989,4875
incertae sedis,1977,4376
incertae sedis,1998,10419
incertae sedis,1938,3067
incertae sedis,2004,13520
incertae sedis,1951,8741
incertae sedis,1953,803
incertae sedis,1948,1047
incertae sedis,1975,4512
incertae sedis,1993,14753
incertae sedis,1937,2492
incertae sedis,1964,4250
incertae sedis,1947,1600
incertae sedis,2005,12220
Animalia,1831,53
incertae sedis,1983,3673
incertae sedis,2010,50713
incertae sedis,1922,1085
incertae sedis,1925,560
incertae sedis,1941,1975
Animalia,1692,1
incertae sedis,1919,533
incertae sedis,1955,1005
Animalia,1849,125
incertae sedis,1939,2246
Animalia,1854,1375
incertae sedis,1934,1374
incertae sedis,1950,1135
Animalia,1832,49
incertae sedis,1944,993
Animalia,1851,583
Animalia,1866,819
incertae sedis,1882,106
Bacteria,1898,485
Chromista,1964,1833
Chromista,1946,679
Chromista,1895,798
Chromista,1961,1939
Chromista,1899,793
Chromista,1939,907
Chromista,1927,766
Chromista,1962,1539
Chromista,1965,3276
Chromista,1908,605
Chromista,1971,1988
Bacteria,1948,2030
Chromista,1896,740
Chromista,1969,1765
Bacteria,1933,472
Plantae,1824,318
Chromista,1898,682
Bacteria,1932,255
Chromista,1960,3503
Chromista,1906,381
Chromista,1917,566
Chromista,1894,447
Chromista,1949,1328
Chromista,1932,431
Chromista,1966,4541
Chromista,1970,1263
Chromista,1892,695
Chromista,1955,3824
Chromista,1977,3508
Chromista,1963,1702
Chromista,1897,444
Chromista,1968,1646
Chromista,1925,1269
Bacteria,1942,1006
Bacteria,1903,285
Animalia,1830,1041
Animalia,1855,627
Animalia,1861,1001
Animalia,1843,230
Fungi,1835,27
incertae sedis,1879,153
Fungi,1868,241
incertae sedis,1892,392
Bacteria,NA,708291
Bacteria,1882,13
Bacteria,1892,627
Fungi,1865,143
incertae sedis,1942,814
incertae sedis,1900,1894
incertae sedis,1935,2396
incertae sedis,1945,880
Archaea,2015,8491
Bacteria,1940,1323
Protozoa,NA,66375
Bacteria,1944,876
Chromista,1981,2305
Bacteria,1941,1991
Bacteria,1950,818
Chromista,1976,3504
Animalia,1632,1
Chromista,1923,1946
Bacteria,1946,834
Bacteria,1894,487
Bacteria,1930,255
Bacteria,1925,53
Chromista,1947,485
Bacteria,1938,942
Bacteria,1943,1040
incertae sedis,1912,665
Chromista,1889,557
Bacteria,1939,1103
Chromista,1978,2190
Chromista,1934,791
Bacteria,1931,423
Chromista,1922,771
Chromista,1883,454
Bacteria,1937,385
Chromista,1888,339
Chromista,1918,636
Bacteria,1949,2848
Bacteria,1934,457
Chromista,1909,351
Chromista,1935,4644
Animalia,1669,1
Bacteria,1955,800
Chromista,1913,423
Protozoa,2003,4783
Bacteria,1957,393
Animalia,1853,1330
Bacteria,1968,102
Bacteria,1954,572
Bacteria,1936,467
Animalia,1858,1145
Chromista,1982,1555
Chromista,1973,1110
Chromista,1979,2470
Chromista,1974,3415
Animalia,1859,2321
Chromista,1972,2960
Bacteria,1966,430
Bacteria,1876,6
incertae sedis,1913,1141
Chromista,1921,800
Bacteria,1952,607
Chromista,1989,1914
Chromista,1905,506
Bacteria,1897,269
Bacteria,1947,779
Chromista,1936,1112
Chromista,1937,530
Bacteria,1963,112
Bacteria,1906,621
Bacteria,1951,564
Bacteria,1890,253
Animalia,1870,3761
Chromista,1991,2771
Bacteria,1928,55
Chromista,1928,578
Plantae,1816,286
Chromista,1919,1050
Bacteria,1914,29
Chromista,1992,4307
Chromista,1953,530
Chromista,1920,574
Chromista,1944,251
Bacteria,1915,66
Bacteria,1958,377
Chromista,1954,1508
Plantae,1815,76
Chromista,1984,1110
Chromista,1980,2198
Chromista,1948,822
Bacteria,1969,104
Chromista,1941,666
Chromista,1938,35746
Protozoa,2006,14289
Protozoa,2007,10716
Animalia,1802,85
Bacteria,2016,1002570
Bacteria,2010,1106345
Protozoa,2010,41081
Archaea,2010,10988
Plantae,1821,83
Plantae,1811,53
Plantae,1818,147
Plantae,1800,4432
incertae sedis,1946,1377
Chromista,1886,222
Chromista,1956,3458
Chromista,1900,1824
Chromista,1975,2150
Chromista,1950,2001
Chromista,1931,641
Chromista,1910,480
Chromista,1914,344
Chromista,1891,497
Chromista,1884,382
Chromista,1890,450
Chromista,1933,217
Plantae,1817,153
Bacteria,1899,185
Chromista,1959,2897
Fungi,1836,9
Bacteria,1920,33
Viruses,2014,11370
Protozoa,2004,11878
Bacteria,1974,191
Bacteria,2004,16551
Bacteria,2007,162886
Bacteria,2001,2209
Bacteria,2006,57505
Bacteria,1985,290
Bacteria,2003,16530
Bacteria,2008,101500
Bacteria,2005,19056
Bacteria,2002,4687
Bacteria,1994,296
Bacteria,1982,324
Bacteria,2000,1904
Bacteria,1983,225
Bacteria,1960,204
Chromista,1995,10516
Viruses,2011,11838
Bacteria,1988,320
Bacteria,1972,155
Viruses,2001,2438
Viruses,2002,3857
Viruses,2004,3672
Viruses,1999,1765
Viruses,2005,6496
Viruses,1996,653
Viruses,2003,3671
Viruses,1998,1590
Viruses,2000,2225
Viruses,1997,789
Viruses,2008,11600
Viruses,2007,9360
Viruses,2006,9083
Chromista,2008,62774
Protozoa,2009,1540
Viruses,1974,233
Viruses,1971,79
Viruses,2013,12134
Chromista,2009,62973
Viruses,2012,13545
Viruses,2015,19212
Bacteria,1999,1146
Archaea,2016,17411
Bacteria,1964,107
Bacteria,1998,1182
Bacteria,1990,316
Bacteria,1991,207
Bacteria,1996,789
Viruses,1995,634
Viruses,1984,556
Viruses,1977,451
Chromista,2001,25609
Protozoa,1992,418
Bacteria,1973,260
Bacteria,1965,148
Bacteria,1981,180
Bacteria,1989,136
Bacteria,1987,271
Bacteria,1980,178
Viruses,1993,374
Viruses,1983,553
Bacteria,1992,252
Viruses,2010,13079
Bacteria,1971,144
Bacteria,1997,1238
Bacteria,1979,162
Bacteria,1995,472
Bacteria,1984,157
Bacteria,1986,261
Viruses,1978,513
Viruses,1990,355
Bacteria,1975,229
Animalia,1800,44298
Protozoa,1974,653
Protozoa,1970,354
Protozoa,1952,104
Protozoa,1954,126
Protozoa,1969,746
Protozoa,1975,616
Protozoa,1991,944
Protozoa,1982,2358
Protozoa,1938,741
Protozoa,1940,662
Protozoa,1930,438
Protozoa,1941,263
